"dialogue" "label"
"4" "This is the Asgardian refugee vessel Statesman. We are under assault, I repeat, we are under assault - The engines are dead, life support failing. Requesting aid from any vessel within range. We are 22 jump points out of Asgard.  Our crew is made up of Asgardian families, we have very few soldiers here. This is not a warcraft. I repeat, this is not a warcraft!" "-1"
"6" "Hear me, and rejoice. You have had the privilege of being saved by the Great Titan.... You may think this is suffering... no. It is salvation. Universal scales tip toward balance because of your sacrifice. Smile...  for even in death, you have become Children of Thanos." "-1"
"8" "I know what it's like to lose. To feel so desperately that you're right... yet to fail, nonetheless.  It's frightening. Turns the legs to jelly. I ask you, to what end? Dread it. Run from it. Destiny arrives all the same. And now, it's here. Or should I say...i am." "-1"
"10" "You talk too much." "-1"
"11" "The Tesseract, or your brother's head. I assume you have a preference." "-1"
"13" "Oh, I do. Kill away!" "-1"
"15" "ALL RIGHT, STOP!" "-1"
"16" "We don't have the Tesseract. It was destroyed on Asgard." "-1"
"18" "You really are the worst brother." "-1"
"19" "I assure you, brother... the sun will shine on us again." "1"
"20" "Your optimism is misplaced, Asgardian." "-1"
"21" "Well, for one thing, I'm not Asgardian. And for another... we have a Hulk." "1"
"23" "Let him have his fun." "1"
"25" "Allfathers… let the dark magic flow through me one last... time." "-1"
"27" "That was a mistake." "-1"
"29" "NO!!!  You're going to die for that!" "-1"
"30" "Shh." "-1"
"31" "My humble personage… bows before your grandeur. No other being has ever had the might, nay the nobility, to wield not one, but two Infinity Stones. The universe lies within your grasp." "1"
"33" "There are two more Stones on Earth. Find them, my children, and bring them to me on Titan." "1"
"34" "Father, we will not fail you." "-1"
"35" "If I might interject… if you're going to Earth, you might want a guide. I do have a bit of experience in that arena." "1"
"36" "If you consider failure experience." "-1"
"37" "I consider experience, experience. Almighty Thanos, I... Loki... Prince of Asgard...  Odinson... the rightful King of Jotunheim... God of Mischief... do hereby pledge to you, my undying fidelity." "1"
"39" "Undying? You should choose your words more carefully." "-1"
"41" "You will... never be... a god." "-1"
"42" "NO!" "1"
"43" "No resurrections this time." "-1"
"45" "No… Loki…." "-1"
"50" "Seriously? You don't have any money?" "-1"
"51" "Attachment to the material is detachment from the spiritual." "1"
"52" "I'll tell the guys at the deli.  Maybe they'll make you a metaphysical ham on rye." "1"
"53" "Oh, wait, wait, wait, I think I have 200." "1"
"54" "Dollars?" "1"
"55" "Rupees." "1"
"56" "Which is?" "1"
"57" "Uh, buck and a half." "1"
"58" "What do you want?" "1"
"59" "I wouldn't say no to a tuna melt." "1"
"61" "Thanos is coming. He's coming..." "-1"
"62" "Who?" "1"
"65" "Slow down, slow down. I'm totally not kidding." "1"
"66" "You're totally rambling." "1"
"67" "No, I'm not." "1"
"68" "Lost me." "1"
